systematic_name	cluster_id
YBR019C	L.R.L
YBR020W	R.L.L.R.L
YBR021W	R.R.R
YBR022W	L.R.L
YBR023C	R.L.L.R.R
YBR024W	R.L.L.L.R.L.L
YBR025C	R.L.L.R.L
YBR026C	R.L.R
YBR027C	R.L.L.R.L
YBR028C	R.L.L.L.L.L
YBR029C	R.L.R
YBR030W	R.L.L.R.R
YBR031W	R.L.L.R.L
YBR032W	R.L.L.R.L
YBR033W	R.L.L.R.L
YBR034C	R.R.R
YBR035C	R.L.L.L.L.L
YBR036C	R.L.L.R.L
YBR037C	R.R.L
YBR038W	R.R.L
YBR039W	R.L.L.L.L.L
YBR040W	L.R.L
YBR041W	R.L.R
YBR042C	R.L.L.R.R
YBR043C	R.L.L.R.R
YBR044C	R.L.L.L.R.L.L
YBR045C	L.R.L
YBR046C	R.L.R
YBR047W	R.R.L
YBR048W	R.L.L.L.L.L
YBR049C	R.L.L.L.R.L.L
YBR050C	L.R.L
YBR051W	L.L
YBR052C	L.R.L
YBR053C	L.R.R.L
YBR054W	R.L.R
YBR055C	R.L.L.L.L.R
YBR056C-B	L.R.L
YBR056W	L.R.R.L
YBR056W-A	L.R.L
YBR057C	R.L.L.L.R.L.L
YBR058C	R.L.L.L.L.L
YBR058C-A	R.L.L.R.L
YBR059C	L.R.R.L
YBR060C	R.L.L.L.L.R
YBR061C	R.R.R
YBR062C	R.L.R
YBR063C	L.R.L
YBR064W	R.L.L.R.L
YBR065C	L.R.L
YBR066C	L.L
YBR067C	L.L
YBR068C	R.L.L.R.L
YBR069C	R.R.R
YBR070C	L.L
YBR071W	L.L
YBR072C-A	L.L
YBR072W	L.R.R.L
YBR073W	L.L
YBR074W	R.R.L
YBR076C-A	L.L
YBR076W	L.L
YBR077C	L.R.L
YBR078W	R.L.L.R.L
YBR079C	R.R.L
YBR080C	R.L.R
YBR081C	L.R.L
YBR082C	R.L.L.R.L
YBR083W	L.L
YBR084C-A	R.L.L.L.L.L
YBR084W	R.R.L
YBR085C-A	R.L.L.R.L
YBR085W	R.R.R
YBR086C	R.L.L.L.R.L.L
YBR087W	R.L.L.L.L.L
YBR088C	R.L.L.R.R
YBR089C-A	R.L.L.R.L
YBR089W	R.L.L.R.L
YBR090C	L.R.L
YBR091C	R.R.L
YBR092C	R.R.L
YBR093C	L.L
YBR094W	R.R.L
YBR095C	L.R.L
YBR096W	R.L.R
YBR097W	R.L.L.L.L.L
YBR098W	L.R.L
YBR099C	L.L
YBR101C	L.R.L
YBR102C	L.R.L
YBR103C-A	L.R.L
YBR103W	L.L
YBR104W	R.R.R
YBR105C	L.R.L
YBR106W	R.L.L.R.L
YBR107C	L.R.L
YBR108W	L.R.R.L
YBR109C	R.L.L.R.L
YBR109W-A	R.L.L.R.L
YBR110W	R.L.R
YBR111C	R.L.L.R.L
YBR111W-A	R.R.L
YBR112C	L.R.L
YBR113W	L.R.L
YBR114W	L.L
YBR115C	R.R.R
YBR116C	L.R.R.R
YBR117C	L.R.R.R
YBR118W	R.L.L.R.L
